dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
saugeen/M/short,Lingjiang,808.5916123,808.5916123,18.77568315,1.09938903,0.72968607,0.551834302,43.97556121,28.43574533,0.853726381,0.563702335,0.563702335,Nature,1
kdd_cup_2018/H/short,Lingjiang,4435.889356,4435.889356,24.119839,1.011659619,1.079877019,0.521998931,40.46638475,66.6024726,1.394110373,0.504871913,0.504871913,Nature,1
kdd_cup_2018/H/medium,Lingjiang,4928.681983,4928.681983,25.12403451,1.065646153,1.157451796,0.551971234,42.62584611,70.20457238,1.4695088,0.525891528,0.525891528,Nature,1
kdd_cup_2018/H/long,Lingjiang,3869.240537,3869.240537,23.36399572,1.007814121,1.088275284,0.594680609,40.31256483,62.20321967,1.459538859,0.548213739,0.548213739,Nature,1
m4_weekly/W/short,Lingjiang,417133.0546,417133.0546,321.7717527,2.474939112,0.079719923,0.084284329,98.99756447,645.8583859,0.117665377,0.058621821,0.058621821,Econ/Fin,1
bizitobs_l2c/H/short,Lingjiang,141.0828465,141.0828465,8.551827227,0.856003166,0.953685822,0.773043348,34.24012662,11.87783004,0.640245459,0.460965389,0.460965389,Web/CloudOps,7
bizitobs_l2c/H/medium,Lingjiang,184.5220173,184.5220173,10.11235835,1.015437402,1.296546343,0.938912125,40.61749608,13.58388815,0.82252506,0.612318658,0.612318658,Web/CloudOps,7
bizitobs_l2c/H/long,Lingjiang,165.5839097,165.5839097,9.230995222,0.94550629,1.079288756,0.890398935,37.82025162,12.86794116,0.786010985,0.56385583,0.56385583,Web/CloudOps,7
loop_seattle/H/short,Lingjiang,64.25019398,64.25019398,4.931822965,0.997558765,0.136176248,0.111156539,39.90235058,8.015621871,0.141884658,0.087298282,0.087298282,Transport,1
loop_seattle/H/medium,Lingjiang,74.38607242,74.38607242,5.558457263,1.140813769,0.142518823,0.123526003,45.63255077,8.624736078,0.152441245,0.09824511,0.09824511,Transport,1
